update,iteration_index,adaptive_learning_rate_start,adaptive_learning_rate_end,adaptive_learning_rate_min,adaptive_learning_rate_max,kl_mean,kl_max,minibatch_count,current_log_prob_mean,old_log_prob_mean,log_ratio_mean,log_ratio_abs_max,ratio_clip_fraction,surrogate_loss,value_loss,entropy_loss,total_loss,gradient_norm,transitions,terminated_ratio,primary_fall_ratio,timeout_ratio,completed_episode_length_mean,completed_episode_return_mean,raw_action_abs_mean,raw_action_abs_p90,policy_mean_abs_mean,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad
53,52,1e-05,1e-05,1e-05,1e-05,,,0,,,,,,-0.04349764809012413,0.06277373433113098,-40.72538375854492,-0.3065270483493805,1.4755624532699585,81408,0.037109375,0.037109375,0.0,27.842105263157894,-6.252140459972516,0.8535337448120117,1.7573175430297852,0.3146369457244873,0.9858156442642212,1479,1.647241473197937,510,0.011283040046691895
54,53,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04604736343026161,0.06641127914190292,-40.713470458984375,-0.3053438663482666,1.345481276512146,82944,0.032552083333333336,0.032552083333333336,0.0,28.88,-6.023338064217568,0.8506795763969421,1.7580358982086182,0.31505879759788513,0.9853224158287048,1479,1.613039255142212,464,0.006232917308807373
55,54,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.03904695436358452,0.07265900820493698,-40.707637786865234,-0.2920491397380829,1.340395450592041,84480,0.037760416666666664,0.037760416666666664,0.0,27.275862068965516,-6.123033920259311,0.8553922772407532,1.7734620571136475,0.33132946491241455,0.9850616455078125,1472,1.7712136507034302,466,0.00968623161315918
56,55,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.042304497212171555,0.06378316879272461,-40.702510833740234,-0.3041413724422455,1.3367993831634521,86016,0.041666666666666664,0.041666666666666664,0.0,25.953125,-6.108388181626796,0.8582417964935303,1.7724217176437378,0.33007141947746277,0.984928548336029,1476,1.7479032278060913,448,0.012490928173065186
57,56,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04304752126336098,0.06907745450735092,-40.7000732421875,-0.2995706796646118,1.2797597646713257,87552,0.037109375,0.037109375,0.0,24.526315789473685,-5.840454893802343,0.8565085530281067,1.7722610235214233,0.33114078640937805,0.9846975207328796,1463,1.6923118829727173,398,0.006760060787200928
58,57,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.040765851736068726,0.06607601046562195,-40.69877243041992,-0.30028003454208374,1.3561142683029175,89088,0.04296875,0.04296875,0.0,26.03030303030303,-6.049113905646587,0.8643054366111755,1.7813676595687866,0.34817731380462646,0.984762966632843,1473,1.6388322114944458,434,0.005702972412109375
59,58,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.03790062665939331,0.06105711683630943,-40.6961555480957,-0.3024127781391144,1.367240071296692,90624,0.046223958333333336,0.046223958333333336,0.0,22.746478873239436,-5.76927540483609,0.8727213740348816,1.8022583723068237,0.36351150274276733,0.9846212267875671,1477,1.8423305749893188,433,0.009021759033203125
60,59,1e-05,1e-05,1e-05,1e-05,,,0,,,,,,-0.033957090228796005,0.04391728341579437,-40.69178009033203,-0.3155740797519684,1.4168514013290405,92160,0.046875,0.046875,0.0,21.52777777777778,-5.550288251307278,0.8718894124031067,1.7877726554870605,0.36681288480758667,0.9845651388168335,1478,1.3473824262619019,399,0.005126774311065674
61,60,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.037092410027980804,0.08677781373262405,-40.683189392089844,-0.27578017115592957,1.4484171867370605,93696,0.040364583333333336,0.040364583333333336,0.0,21.387096774193548,-5.66630558268678,0.8648629188537598,1.7956173419952393,0.35790160298347473,0.9843225479125977,1479,1.3751153945922852,407,0.00839531421661377
62,61,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.03807171806693077,0.06515113264322281,-40.67637252807617,-0.2983315885066986,1.488261342048645,95232,0.047526041666666664,0.047526041666666664,0.0,23.589041095890412,-5.836230273867306,0.8783460855484009,1.809301495552063,0.3604991137981415,0.9840039014816284,1481,1.5772786140441895,394,0.006227016448974609
