update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean
21,0.45465362071990967,0.6017248630523682,0.9107541441917419,0.21947519481182098,0.29241958260536194,0.4696744680404663,0.20252026617527008,33,0.11227306723594666,130,0.003301262855529785,46.92605209350586,1055.070068359375,3272,3272,0.018880208333333332,0.0,0.018880208333333332,0.28437501192092896,1e-05,0.016522442921996117,3.8428914546966553,5.170200347900391,0.10190992802381516,-0.058380234986543655,0.893999457359314,0.20546287298202515
22,0.45395293831825256,0.5942878127098083,0.9956643581390381,0.22265133261680603,0.29830166697502136,0.531635046005249,0.20245607197284698,37,0.11791318655014038,200,0.003352224826812744,47.73063278198242,857.171142578125,3148,3148,0.021484375,0.0,0.021484375,0.28919273614883423,1e-05,0.01820010133087635,3.9692108631134033,5.170225620269775,0.09403464943170547,-0.05998123809695244,0.9032574892044067,0.196389839053154
23,0.45195624232292175,0.5928989052772522,0.9705096483230591,0.22246083617210388,0.2981210947036743,0.49766552448272705,0.20249982178211212,28,0.11267760396003723,166,0.003820478916168213,52.56299591064453,1085.04052734375,3207,3207,0.018229166666666668,0.0,0.018229166666666668,0.2848958373069763,1e-05,0.017691202461719513,3.8908498287200928,5.166782379150391,0.09073054045438766,-0.05712033063173294,0.9210714101791382,0.19566741585731506
24,0.4547300934791565,0.59575355052948,0.9362661242485046,0.2247047871351242,0.2970581352710724,0.4599483013153076,0.20251469314098358,25,0.11885514855384827,198,0.005666673183441162,53.04917907714844,916.9879150390625,3182,3182,0.020833333333333332,0.0,0.020833333333333332,0.26979169249534607,1e-05,0.017100386321544647,4.102066993713379,5.1634368896484375,0.08517155051231384,-0.05586173012852669,0.9338048696517944,0.18825504183769226
25,0.45451465249061584,0.600541353225708,0.9641117453575134,0.22128087282180786,0.2893400192260742,0.4946601688861847,0.20253627002239227,25,0.1312619149684906,189,0.004440009593963623,47.07162094116211,1031.4588623046875,3186,3186,0.022786458333333332,0.0,0.022786458333333332,0.2682291865348816,1e-05,0.0155000826343894,3.944514036178589,5.161859035491943,0.08066406100988388,-0.05776825174689293,0.9404449462890625,0.18882229924201965
26,0.4537823796272278,0.5962733626365662,0.9233458042144775,0.21889224648475647,0.2890981435775757,0.4763220548629761,0.20255178213119507,29,0.09413003921508789,182,0.0047757625579833984,50.91504669189453,997.8927001953125,3182,3182,0.020182291666666668,0.0,0.020182291666666668,0.28307291865348816,1e-05,0.017561174929142,4.108499050140381,5.15523624420166,0.08526494354009628,-0.055485308170318604,0.8837317228317261,0.2140669822692871
27,0.45689910650253296,0.5969734787940979,1.1022517681121826,0.21984083950519562,0.29345089197158813,0.480724573135376,0.20260480046272278,36,0.15986675024032593,163,0.005606234073638916,47.7249870300293,1361.2021484375,3206,3206,0.018229166666666668,0.0,0.018229166666666668,0.29609376192092896,1e-05,0.018128421157598495,3.915248155593872,5.158191680908203,0.07518383860588074,-0.05719798803329468,0.8681599497795105,0.22004008293151855
28,0.45640239119529724,0.6040956377983093,0.9701281785964966,0.2217518389225006,0.29722270369529724,0.49088379740715027,0.20255042612552643,22,0.11962297558784485,167,0.0034134984016418457,48.7800178527832,911.4801025390625,3140,3140,0.022786458333333332,0.0,0.022786458333333332,0.27760419249534607,1e-05,0.017286697402596474,4.121244430541992,5.165381908416748,0.08815412223339081,-0.055429913103580475,0.9096059799194336,0.20146213471889496
29,0.45582878589630127,0.5973576307296753,1.008317470550537,0.22239898145198822,0.2972869277000427,0.5170111656188965,0.2024872899055481,21,0.1030741035938263,151,0.003708481788635254,54.760528564453125,1163.0284423828125,3205,3205,0.020833333333333332,0.0,0.020833333333333332,0.3059895932674408,1e-05,0.0186633113771677,3.7910335063934326,5.167420864105225,0.06046748906373978,-0.05816429480910301,0.9056358337402344,0.20492792129516602
30,0.456246018409729,0.6024534106254578,0.9309356808662415,0.2257675975561142,0.2990897297859192,0.5195648670196533,0.20252056419849396,34,0.1417759656906128,246,0.003410637378692627,45.74232864379883,1119.4019775390625,3234,3234,0.020182291666666668,0.0,0.020182291666666668,0.2888020873069763,1e-05,0.018487216904759407,3.8272881507873535,5.160375118255615,0.07341130077838898,-0.05958371236920357,0.9248309135437012,0.17662963271141052
