controller,action_mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall,classification
zero,legacy_raw,5,11,44,0.22,right_ankle_roll_link,unconfirmed,173.4578399658203,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,11,44,0.22,left_ankle_roll_link,unconfirmed,172.8262939453125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,11,44,0.22,right_ankle_roll_link,unconfirmed,173.503662109375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,11,44,0.22,left_ankle_roll_link,unconfirmed,173.06790161132812,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,11,44,0.22,right_ankle_roll_link,unconfirmed,173.59686279296875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.329902410507202,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.555213928222656,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,left_hip_roll_link,unconfirmed,3.329902410507202,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,left_ankle_roll_link,unconfirmed,172.5294647216797,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,right_hip_roll_link,unconfirmed,20.555213928222656,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,12,48,0.24,right_ankle_roll_link,unconfirmed,172.4935760498047,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.328831672668457,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.568082809448242,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,left_hip_roll_link,unconfirmed,3.328831672668457,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,left_ankle_roll_link,unconfirmed,172.9583740234375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,right_hip_roll_link,unconfirmed,20.568082809448242,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,12,48,0.24,right_ankle_roll_link,unconfirmed,172.91111755371094,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.331538438796997,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.52968978881836,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,left_hip_roll_link,unconfirmed,3.331538438796997,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,left_ankle_roll_link,unconfirmed,172.87196350097656,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,right_hip_roll_link,unconfirmed,20.52968978881836,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,12,48,0.24,right_ankle_roll_link,unconfirmed,172.55816650390625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.326835870742798,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.541828155517578,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,left_hip_roll_link,unconfirmed,3.326835870742798,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,left_ankle_roll_link,unconfirmed,172.7659149169922,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,right_hip_roll_link,unconfirmed,20.541828155517578,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,12,48,0.24,right_ankle_roll_link,unconfirmed,172.52203369140625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.326486587524414,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.5396671295166,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,left_hip_roll_link,unconfirmed,3.326486587524414,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,left_ankle_roll_link,unconfirmed,172.75558471679688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,right_hip_roll_link,unconfirmed,20.5396671295166,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,12,48,0.24,right_ankle_roll_link,unconfirmed,172.5462646484375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.331557035446167,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.519256591796875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,left_hip_roll_link,unconfirmed,3.331557035446167,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,left_ankle_roll_link,unconfirmed,172.891357421875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,right_hip_roll_link,unconfirmed,20.519256591796875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,12,48,0.24,right_ankle_roll_link,unconfirmed,172.59658813476562,[],False,False,unconfirmed_gpu_filter
