run,episode_id,control_step,physics_step,sim_time,link,sensor_id,robot_id,current_force_N,history_max_N,terminal_control_step,root_height,geometry_min_z,contact_object,contact_points,contact_separations,evidence,first_terminal_base_contact
final_pairs,5,4,16,0.08,right_wrist_yaw_link,14,23,388.9920959472656,388.9920959472656,4,0.7947345972061157,0.5769574753940105,/World/envs/env_5/Robot/right_hip_roll_link,"[[[-0.9915575385093689, 1.3594392538070679, 0.6475422382354736]]]",[[[0.000743471086025238]]],PhysX filtered contact matrix,True
final_pairs,5,4,16,0.08,right_hip_roll_link,25,17,388.9920959472656,388.9920959472656,4,0.7947345972061157,0.39932138845324516,/World/envs/env_5/Robot/right_wrist_yaw_link,"[[[-0.9915575385093689, 1.3594392538070679, 0.6475422382354736]]]",[[[0.000743471086025238]]],PhysX filtered contact matrix,True
final_pairs,0,5,18,0.09,left_wrist_yaw_link,7,22,176.3675537109375,176.3675537109375,5,0.7985435724258423,0.5696479789912701,/World/envs/env_0/Robot/left_hip_roll_link,"[[[3.796459436416626, -1.472853183746338, 0.6496425867080688]]]",[[[0.0020091161131858826]]],PhysX filtered contact matrix,True
final_pairs,0,5,18,0.09,left_hip_roll_link,19,16,176.3675537109375,176.3675537109375,5,0.7985435724258423,0.40847934409976006,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[3.796459436416626, -1.472853183746338, 0.6496425867080688]]]",[[[0.0020091161131858826]]],PhysX filtered contact matrix,True
final_pairs,2,5,20,0.1,right_wrist_yaw_link,14,23,303.0284118652344,303.0284118652344,5,0.7944437861442566,0.569381307810545,/World/envs/env_2/Robot/right_hip_roll_link,"[[[1.4277256727218628, -0.8392373919487, 0.6446285247802734]]]",[[[0.0008799135684967041]]],PhysX filtered contact matrix,True
final_pairs,2,5,20,0.1,right_hip_roll_link,25,17,303.0284118652344,303.0284118652344,5,0.7944437861442566,0.40023286268115044,/World/envs/env_2/Robot/right_wrist_yaw_link,"[[[1.4277256727218628, -0.8392373919487, 0.6446285247802734]]]",[[[0.0008799135684967041]]],PhysX filtered contact matrix,True
final_pairs,3,4,13,0.065,right_wrist_yaw_link,14,23,300.26446533203125,300.26446533203125,5,0.7967666387557983,0.5939169637858868,/World/envs/env_3/Robot/right_hip_roll_link,"[[[1.6447343826293945, 1.2669932842254639, 0.6593759655952454]]]",[[[0.001753479242324829]]],PhysX filtered contact matrix,True
final_pairs,3,4,13,0.065,right_hip_roll_link,25,17,300.26446533203125,300.26446533203125,5,0.7967666387557983,0.4136616699397564,/World/envs/env_3/Robot/right_wrist_yaw_link,"[[[1.6447343826293945, 1.2669932842254639, 0.6593759655952454]]]",[[[0.001753479242324829]]],PhysX filtered contact matrix,True
final_pairs,6,5,17,0.085,right_wrist_yaw_link,14,23,196.3715057373047,196.3715057373047,6,0.8008624911308289,0.5919718854129314,/World/envs/env_6/Robot/right_hip_roll_link,"[[[-3.2565789222717285, -1.3700331449508667, 0.6605501770973206]]]",[[[0.0035424083471298218]]],PhysX filtered contact matrix,True
final_pairs,6,5,17,0.085,right_hip_roll_link,25,17,196.3715057373047,196.3715057373047,6,0.8008624911308289,0.4130656532943249,/World/envs/env_6/Robot/right_wrist_yaw_link,"[[[-3.2565789222717285, -1.3700331449508667, 0.6605501770973206]]]",[[[0.0035424083471298218]]],PhysX filtered contact matrix,True
final_pairs,4,10,39,0.195,left_wrist_yaw_link,7,22,133.9934844970703,133.9934844970703,10,0.7835578918457031,0.5318901650607586,/World/envs/env_4/Robot/left_hip_roll_link,"[[[-1.400626301765442, -1.441657304763794, 0.5694116353988647]]]",[[[0.003725685179233551]]],PhysX filtered contact matrix,True
final_pairs,4,10,39,0.195,left_hip_roll_link,19,16,133.9934844970703,133.9934844970703,10,0.7835578918457031,0.42364973947405815,/World/envs/env_4/Robot/left_wrist_yaw_link,"[[[-1.400626301765442, -1.441657304763794, 0.5694116353988647]]]",[[[0.003725685179233551]]],PhysX filtered contact matrix,True
nominal_add_base_mass_verified,0,12,45,0.225,left_wrist_yaw_link,7,22,39.068397521972656,39.068397521972656,12,0.7706578373908997,0.5544109456241131,/World/envs/env_0/Robot/left_hip_roll_link,"[[[0.08055159449577332, 0.1552489697933197, 0.6260266900062561]]]",[[[0.00026248395442962646]]],PhysX filtered contact matrix,True
nominal_add_base_mass_verified,0,12,45,0.225,right_wrist_yaw_link,14,23,36.5922737121582,36.5922737121582,12,0.7706578373908997,0.5541547052562237,/World/envs/env_0/Robot/right_hip_roll_link,"[[[0.08069612085819244, -0.15517795085906982, 0.6259986162185669]]]",[[[0.0008218288421630859]]],PhysX filtered contact matrix,True
nominal_add_base_mass_verified,0,12,45,0.225,left_hip_roll_link,19,16,39.068397521972656,39.068397521972656,12,0.7706578373908997,0.3877740614116192,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[0.08055159449577332, 0.1552489697933197, 0.6260266900062561]]]",[[[0.00026248395442962646]]],PhysX filtered contact matrix,True
nominal_add_base_mass_verified,0,12,45,0.225,right_hip_roll_link,25,17,36.5922737121582,36.5922737121582,12,0.7706578373908997,0.3876146785914898,/World/envs/env_0/Robot/right_wrist_yaw_link,"[[[0.08069612085819244, -0.15517795085906982, 0.6259986162185669]]]",[[[0.0008218288421630859]]],PhysX filtered contact matrix,True
nominal_physics_material_verified,0,12,45,0.225,left_wrist_yaw_link,7,22,32.23520278930664,32.23520278930664,12,0.7774031758308411,0.5604675523936749,/World/envs/env_0/Robot/left_hip_roll_link,"[[[0.0813840702176094, 0.15536311268806458, 0.632178008556366]]]",[[[0.001023814082145691]]],PhysX filtered contact matrix,True
nominal_physics_material_verified,0,12,45,0.225,right_wrist_yaw_link,14,23,13.512744903564453,13.512744903564453,12,0.7774031758308411,0.5601943843066692,/World/envs/env_0/Robot/right_hip_roll_link,"[[[0.08153104782104492, -0.15518520772457123, 0.6321296095848083]]]",[[[0.0014795958995819092]]],PhysX filtered contact matrix,True
nominal_physics_material_verified,0,12,45,0.225,left_hip_roll_link,19,16,32.23520278930664,32.23520278930664,12,0.7774031758308411,0.39116601273417473,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[0.0813840702176094, 0.15536311268806458, 0.632178008556366]]]",[[[0.001023814082145691]]],PhysX filtered contact matrix,True
nominal_physics_material_verified,0,12,45,0.225,right_hip_roll_link,25,17,13.512744903564453,13.512744903564453,12,0.7774031758308411,0.3910369388759136,/World/envs/env_0/Robot/right_wrist_yaw_link,"[[[0.08153104782104492, -0.15518520772457123, 0.6321296095848083]]]",[[[0.0014795958995819092]]],PhysX filtered contact matrix,True
